name,Description,Link,Category
Revolut,Buy and sell BOBA instantly alongside 200+ cryptocurrencies in the app you already use for everyday banking.,https://www.revolut.com/crypto/,Centralized exchange
BitPanda,"Europe’s go-to platform to trade 390 + crypto assets, stocks, metals & ETFs from just €1.",https://www.bitpanda.com/,Centralized Exchange
Zebec,"Zebec is a decentralized network for real-time payments, payroll, and crypto cards, bridging Web3 with traditional finance.",https://www.zebec.io/,Wallet / On-Ramp
OpenPad,OpenPad is an AI-powered Web3 launchpad that helps projects raise funds and investors discover token launches.,https://openpad.io/homepage,NFT / Tools
Alchemy,Alchemy is a Web3 developer platform offering APIs and tools to build blockchain apps.,https://www.alchemy.com/,Tools
Flipside,"Flipside is a blockchain growth platform that leverages AI and on-chain data to find top users, deliver insights, and run incentive campaigns.",https://flipsidecrypto.xyz/home/,Tools
DappRadar,"DappRadar is a Web3 app store that tracks dapps, NFTs, DeFi, and GameFi, offering analytics and portfolio tools.",https://dappradar.com/,Tools
Metasoccer,"MetaSoccer is a Web3 football manager game where players own clubs, train talent, and earn through NFTs.",https://metasoccer.com/,Game
QSTN,QSTN is an NFT marketplace platform focused on digital art and collectibles.,https://qstn.us/,Tools / NFT
Ion Protocol,"Ion Protocol is a DeFi money market for staked and restaked assets, letting users lend or borrow against those without being exposed to price-based liquidation risk.",https://ionprotocol.io/,DeFi
Orochi,"Orochi Network provides verifiable Web3 data using zero-knowledge proofs for secure, private, and scalable access.",https://orochi.network/,Tools
Biconomy,"Biconomy simplifies Web3 with account abstraction, gasless transactions, and flexible gas payments.",https://www.biconomy.io/,Tools
Bitvavo,"Bitvavo is a European crypto exchange that lets users buy, sell, store, and earn on 400+ digital assets with low fees and full regulatory compliance.",https://bitvavo.com/en,Centralized Exchange
MVHQ,"Metaverse HQ (MVHQ) is a Web3 rewards & insight platform where users join a community of traders/builders to get strategies, exclusive content, and rewards.",https://www.mvhq.io/,Tools
RWA,RWA Inc is a tokenization & investment platform enabling people to invest in early-stage startups via token offerings.,https://www.rwa.inc/,DeFi
Fuzzland,"Fuzzland secures blockchains with 24/7 testing, AI, and real-time protection for smart contracts.",https://fuzz.land/,Tools
Cryptio,"Cryptio provides accounting, audit, and tax reporting software for digital assets and enterprises.",https://cryptio.co/,Tools
Hexens,"A Web3 cybersecurity firm offering audits, pentesting, and advisory services to secure smart contracts and blockchain systems.",https://hexens.io/,Tools
Symbiote,"A platform helping Web3/NFT projects grow via community, rewards, and engagement tools.",https://symbiote.gg/,NFT
Rayo,"A community-curated platform for discovering Web3 projects (DeFi, NFTs, DAOs etc.), letting people vote, submit listings, and explore by chain.",https://rayo.gg/,Tools
BubbleMaps,Bubblemaps is a Web3 tool that visualizes token/NFT supply & wallet connections using interactive bubble charts for easier on-chain analysis.,https://bubblemaps.io/,Tools
Li.Fi,"LI.FI aggregates DEXs and bridges into one API, enabling seamless cross-chain swaps and liquidity access across many blockchains.",https://li.fi/,Bridge
Blockspaces,BlockSpaces lets institutions use Bitcoin as programmable collateral with risk tools and settlements.,https://www.blockspaces.com/,Tools
Chimp X AI,"ChimpX is an AI DeFi superapp for trading, bridging, investing, and portfolio management gas-free.",https://chimpx.ai/,DeFi
Dune,"Dune is a Web3 data and analytics platform that lets users query, visualize, and explore on-chain data across many blockchains.",https://dune.com/home,Tools
ChainPort,ChainPort is a secure cross-chain bridge enabling fast token transfers across 20+ blockchains.,https://www.chainport.io/,Bridge
HyperLane,Hyperlane is a permissionless interoperability protocol for cross-chain messaging and token bridging.,https://hyperlane.xyz/,Bridge
Oku (new description),"Oku is a premier DeFi aggregator live on 35+ chains offering 0% fees across 14 swap and 14 bridge routers to connect users with S-tier apps in crypto. As a leading interface for Uniswap v3 and Morpho, Oku makes transacting 1000+ tokens across EVM chains seamless and fast.",unchanged,unchanged
Dune (need new logo change),unchanged,unchanged,unchanged
